url,license
https://www.kaggle.com/datasets/aakashjoshi123/virtual-reality-experiences,"Community Data License Agreement – Sharing, Version 1.0"
https://www.kaggle.com/datasets/adityaramachandran27/nasa-near-earth-objects-information,cc0: Public Domain
https://www.kaggle.com/datasets/agajorte/zoo-animals-extended-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/ahmadalijamali/preterm-data-set,Open Data Commons v 1.0
https://www.kaggle.com/datasets/ahsan81/hotel-reservations-classification-dataset,Attribution 4.0 International
https://www.kaggle.com/datasets/ahsan81/superstore-marketing-campaign-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/aleespinosa/apple-watch-and-fitbit-data,cc0: Public Domain
https://www.kaggle.com/datasets/amirhosseinmirzaie/pistachio-types-detection,"Community Data License Agreement – Sharing, Version 1.0"
https://www.kaggle.com/datasets/ammaraahmad/top-10-machine-learning-datasets,cc0: Public Domain
https://www.kaggle.com/datasets/ankitkumar2635/sentiment-and-emotions-of-tweets,Community Data License Agreement – Permissive – Version 1.0
https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,cc0: Public Domain
https://www.kaggle.com/datasets/aryashah2k/datasets-in-hr-analytics-applied-ai,cc0: Public Domain
https://www.kaggle.com/datasets/benroshan/factors-affecting-campus-placement,CC0: Public Domain
https://www.kaggle.com/datasets/brenda89/fifa-world-cup-2022,cc0: Public Domain
https://www.kaggle.com/datasets/bricevergnou/spotify-recommendation,cc0: Public Domain
https://www.kaggle.com/datasets/brsdincer/antarctica-hotpoints-20002021climate-change-nasa,Open Data Commons v 1.0
https://www.kaggle.com/datasets/brsdincer/mugla-region-wildfirejune122-2022,Open Data Commons v 1.0
https://www.kaggle.com/datasets/brsdincer/pulsar-classification-for-class-prediction,Open Data Commons v 1.0
https://www.kaggle.com/datasets/brsdincer/telescope-spectrum-gamma-or-hadron,Open Data Commons v 1.0
https://www.kaggle.com/datasets/danushkumarv/glass-identification-data-set,CC0: Public Domain
https://www.kaggle.com/datasets/dev523/ml-marathon-dataset-by-azure-developer-community,cc0: Public Domain
https://www.kaggle.com/datasets/divyansh22/crystal-system-properties-for-liion-batteries,cc0: Public Domain
https://www.kaggle.com/datasets/elakiricoder/gender-classification-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/fedesoriano/hepatitis-c-dataset,Open Data Commons v 1.0
https://www.kaggle.com/datasets/fedesoriano/multijet-primary-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/houcembenmansour/predict-diabetes-based-on-diagnostic-measures,cc0: Public Domain
https://www.kaggle.com/datasets/i191796majid/human-genetic-data,CC0: Public Domain
https://www.kaggle.com/datasets/infamouscoder/mental-health-social-media,cc0: Public Domain
https://www.kaggle.com/datasets/joshmcadams/oranges-vs-grapefruit,cc0: Public Domain
https://www.kaggle.com/datasets/kaushiksuresh147/the-social-dilemma-tweets,cc0: Public Domain
https://www.kaggle.com/datasets/kukuroo3/starbucks-locations-worldwide-2021-version,cc0: Public Domain
https://www.kaggle.com/datasets/outofskills/driving-behavior,Attribution 4.0 International
https://www.kaggle.com/datasets/piyushgoyal443/red-wine-dataset,Open Data Commons v 1.0
https://www.kaggle.com/datasets/prasertk/unicorn-decacorn-hectocron-in-2021,cc0: Public Domain
https://www.kaggle.com/datasets/rashikrahmanpritom/177k-english-song-data-from-20082017,cc0: Public Domain
https://www.kaggle.com/datasets/redlineracer/nfl-combine-performance-data-2009-2019,cc0: Public Domain
https://www.kaggle.com/datasets/reihanenamdari/breast-cancer,Attribution 4.0 International
https://www.kaggle.com/datasets/rishikeshkonapure/home-loan-approval,cc0: Public Domain
https://www.kaggle.com/datasets/rkkaggle2/rms-lusitania-complete-passenger-manifest,cc0: Public Domain
https://www.kaggle.com/datasets/rushikeshhiray/yugioh-normal-monster-cards,cc0: Public Domain
https://www.kaggle.com/datasets/sachinsharma1123/performance-prediction,cc0: Public Domain
https://www.kaggle.com/datasets/saddamazyazy/go-to-college-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/saurabhshahane/lumpy-skin-disease-dataset,Attribution 4.0 International
https://www.kaggle.com/datasets/shelvigarg/room-occupancy,Open Data Commons v 1.0
https://www.kaggle.com/datasets/shivan118/hranalysis,cc0: Public Domain
https://www.kaggle.com/datasets/shrushtijoshi/asteroid-impacts,cc0: Public Domain
https://www.kaggle.com/datasets/sudhanshu2198/microcalcification-classification,cc0: Public Domain
https://www.kaggle.com/datasets/sujithmandala/credit-score-classification-dataset,Attribution 4.0 International
https://www.kaggle.com/datasets/sujithmandala/obesity-classification-dataset,Attribution 4.0 International
https://www.kaggle.com/datasets/taniaj/world-bank-country-and-lending-groups,World Bank ToU (=Attribution 4.0 International)
https://www.kaggle.com/datasets/teertha/personal-loan-modeling,cc0: Public Domain
https://www.kaggle.com/datasets/tejashvi14/employee-future-prediction,cc0: Public Domain
https://www.kaggle.com/datasets/tejashvi14/tour-travels-customer-churn-prediction,cc0: Public Domain
https://www.kaggle.com/datasets/tejashvi14/travel-insurance-prediction-data,cc0: Public Domain
https://www.kaggle.com/datasets/thedevastator/predicting-credit-card-customer-attrition-with-m,cc0: Public Domain
https://www.kaggle.com/datasets/timmofeyy/-world-metro,CC0 1.0 Universal
https://www.kaggle.com/datasets/tirendazacademy/fifa-world-cup-2022-tweets,cc0: Public Domain
https://www.kaggle.com/datasets/uom190346a/disease-symptoms-and-patient-profile-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/utkarshx27/fairs-extramarital-affairs-data,cc0: Public Domain
https://www.kaggle.com/datasets/utkarshx27/noaa-atlantic-hurricane-database,cc0: Public Domain
https://www.kaggle.com/datasets/vipin20/loan-application-data,cc0: Public Domain
https://www.kaggle.com/datasets/yasserh/ibm-attrition-dataset,cc0: Public Domain
https://www.kaggle.com/datasets/yudhaislamisulistya/dataset-aroma-tahu-berfomalin,cc0: Public Domain
https://www.kaggle.com/datasets/zzettrkalpakbal/full-filled-brain-stroke-dataset,cc0: Public Domain
